3,25.5253
4,20.8043
5,22.7138
6,15.8304
7,13.0208
8,11.6026
9,11.2379
10,10.5495
11,18.7299
12,17.4241
13,16.1245
14,15.1693
15,14.3091
16,13.4262
17,16.2503
18,15.4019
19,15.1284
20,14.4669
21,13.6104
22,13.3637
23,12.9562
24,12.1161
25,12.1141
26,12.2825
27,11.15
28,10.7085
29,10.2894
30,10.2571
31,10.281
32,10.4938
33,10.2065
34,11.6975
35,11.981
36,12.7291
37,13.4831
38,11.9759
39,13.3008
40,12.3095
41,16.862
42,17.6376
43,14.5421
44,11.7396
45,12.1881
46,14.1395
47,11.3596
48,17.6546
49,10.6052
50,12.1684
